competency,resume_text,level
"NoSQL базы данных (Cassandra, MongoDB, ElasticSearch, Neo4J, Hbase)","Настраивал индексы и агрегации в MongoDB, полнотекстовый поиск в ElasticSearch, базовые запросы в Cassandra.",2
"NoSQL базы данных (Cassandra, MongoDB, ElasticSearch, Neo4J, Hbase)","Тюнил Cassandra под нагрузку, проектировал модель данных, сложные пайплайны в ES, графовые сценарии в Neo4j под прод.",3
"Hadoop, SPARK, Hive","Запускал локальный Spark, читал CSV в DataFrame, применял filter/map в учебных заданиях.",1
"Hadoop, SPARK, Hive","Писал Spark SQL и UDF, оптимизировал shuffle, работал с Hive-таблицами и партициями в кластере.",2
"Hadoop, SPARK, Hive","Вёл миграции пайплайнов на Spark 3, настраивал ресурсы в YARN/K8s, снижал стоимость джоб на терабайтных данных.",3
"Качество и предобработка данных, подходы и инструменты","Заполнял пропуски средним, кодировал категории OneHot, базовая нормализация в sklearn.",1
"Качество и предобработка данных, подходы и инструменты","Строил воспроизводимые пайплайны предобработки, валидации схемы, детект аномалий и отчёты по качеству признаков.",2
"Качество и предобработка данных, подходы и инструменты","Внедрял data contracts, мониторинг качества в проде, автоматические проверки и версионирование фич для ML-команд.",3
"Работа с распределенной кластерной системой","Подключался по SSH к серверу, запускал задачи в фоне, читал логи кластера по инструкции.",1
"Работа с распределенной кластерной системой","Настраивал деплой в Kubernetes, смотрел метрики нод, балансировал ресурсы для Spark/ML job.",2
"Работа с распределенной кластерной системой","Администрировал кластер: политики ресурсов, GPU-ноды, отказоустойчивость, распределённое обучение и SRE-практики.",3
"Методы машинного обучения","Обучал логистическую регрессию и kNN на табличных данных в sklearn по туториалу.",1
"Методы машинного обучения","Подбирал модели XGBoost/LightGBM, калибровку, feature importance, работал с дисбалансом классов.",2
"Методы машинного обучения","Проектировал ансамбли и кастомные лоссы под бизнес-метрики, онлайн-обучение и продакшен-мониторинг моделей.",3
"Рекомендательные системы","Реализовал простые рекомендации по косинусной близости пользователей на маленьком датасете.",1
"Рекомендательные системы","Строил матричную факторизацию и гибридные рекомендации, оценивал offline-метрики (nDCG, HR).",2
"Рекомендательные системы","Вёл recsys в проде: онлайн-ранжирование, cold start, A/B-тесты и оптимизация CTR/конверсии.",3
"Методы оптимизации","Реализовал градиентный спуск для линейной регрессии вручную на numpy для курса.",1
"Методы оптимизации","Подбирал оптимизаторы Adam/LAMB, learning rate schedule, регуляризацию для нейросетей.",2
"Методы оптимизации","Решал выпуклые и невыпуклые задачи оптимизации под ограничения продукта, включая квадратичное программирование и кастомные лоссы.",3
"Основы глубокого обучения","Собрал простую полносвязную сеть в Keras на MNIST, разбирал forward/backprop на лекции.",1
"Основы глубокого обучения","Тренировал CNN для классификации, настраивал аугментации, dropout, batch norm.",2
"Основы глубокого обучения","Проектировал архитектуры под latency и память, mixed precision, распределённое обучение и отладка градиентов.",3
"Анализ изображений и видео","Делал resize и фильтры в OpenCV по примерам из документации.",1
"Анализ изображений и видео","Строил детекцию/классификацию на PyTorch, базовые аугментации и визуализацию ошибок.",2
"Анализ изображений и видео","Разрабатывал real-time видеопайплайн: трекинг, оптимизация под GPU, интеграция с прод-сервисом.",3
"Машинное обучение на больших данных","Обрабатывал CSV до нескольких гигабайт чанками в pandas на одной машине.",1
"Машинное обучение на больших данных","Обучал модели на Spark MLlib / распределённых фреймворках, контролировал shuffle и кэш.",2
"Машинное обучение на больших данных","Масштабировал feature engineering и обучение на десятки терабайт, оптимизировал стоимость и время пайплайнов.",3
"Глубокое обучение для анализа естественного языка","Токенизировал тексты и обучал простой классификатор на bag-of-words.",1
"Глубокое обучение для анализа естественного языка","Дообучал BERT/ruBERT под NER и классификацию, работал с HuggingFace Trainer.",2
"Глубокое обучение для анализа естественного языка","Вёл сложные NLP-проекты: длинные контексты, доменная адаптация, прод-инференс и мониторинг качества.",3
"Обучение с подкреплением и глубокое обучение с подкреплением","Реализовал Q-learning на сетке для FrozenLake в учебной среде.",1
"Обучение с подкреплением и глубокое обучение с подкреплением","Тренировал DQN/PPO в симуляторе, настраивал reward shaping и гиперпараметры.",2
"Обучение с подкреплением и глубокое обучение с подкреплением","Внедрял RL в робототехнику/игровые агенты с кастомными средами, распределённым сбором опыта и стабилизацией обучения.",3
"Глубокое обучение для анализа и генерации изображений, видео","Генерировал простые изображения учебным GAN на MNIST.",1
"Глубокое обучение для анализа и генерации изображений, видео","Дообучал диффузионные модели под домен, делал инференс-пайплайн и постобработку.",2
"Глубокое обучение для анализа и генерации изображений, видео","Оптимизировал генерацию под прод: latency, квантование, кастомные лоссы и контроль качества выхода.",3
"Анализ естественного языка","Делал стемминг и TF-IDF классификацию отзывов в sklearn.",1
"Анализ естественного языка","Использовал spaCy для NER, строил пайплайны извлечения сущностей из документов.",2
"Анализ естественного языка","Проектировал многоязычные NLP-пайплайны, оценка качества, доменные словари и интеграция в поиск/чат-боты.",3
"Информационный поиск","Искал документы по ключевым словам в ElasticSearch match query.",1
"Информационный поиск","Настраивал BM25, синонимы, фильтры и ранжирование в поисковом движке.",2
"Информационный поиск","Строил learning-to-rank, query understanding, гибридный поиск с эмбеддингами и онлайн-метрики релевантности.",3
"Массово параллельные вычисления для ускорения машинного обучения (GPU)","Запускал учебные примеры на GPU в Colab без оптимизации кода.",1
"Массово параллельные вычисления для ускорения машинного обучения (GPU)","Профилировал обучение в PyTorch, mixed precision, DataParallel для ускорения.",2
"Массово параллельные вычисления для ускорения машинного обучения (GPU)","Оптимизировал CUDA-ядра/память, кастомные операторы, multi-GPU и throughput инференса в проде.",3
"Потоковая обработка данных (data streaming, event processing)","Писал скрипт, который читает события из файла и пишет в CSV батчами.",1
"Потоковая обработка данных (data streaming, event processing)","Настраивал Kafka consumer/producer, простые stream-обработчики и дедупликацию.",2
"Потоковая обработка данных (data streaming, event processing)","Проектировал Flink/Kafka Streams с exactly-once, stateful-операторами и SLA для миллионов событий в сутки.",3
"Массово параллельная обработка и анализ данных","Параллелил цикл через multiprocessing на локальной машине.",1
"Массово параллельная обработка и анализ данных","Использовал Dask/Ray для распределённой предобработки и join больших таблиц.",2
"Массово параллельная обработка и анализ данных","Оптимизировал Spark jobs: партиции, broadcast, skew join, стоимость кластера под аналитические нагрузки.",3
